iteration,fidelity,n_samples,metallicity,envelope_eff_alpha,sigma_bh,sigma_ns,y_cnp,y_cnp_err,y_raw,log_prop,bce
0.00000,0.00000,1000.00000,0.01144,35.93594,592.19220,158.16817,0.18442,0.02192,0.00900,0.65006,0.29911
0.00000,0.00000,1000.00000,0.01342,95.79580,286.33633,663.07306,0.16301,0.02192,0.00100,0.63414,0.25118
0.00000,0.00000,1000.00000,0.01001,68.06807,131.95195,150.40041,0.17700,0.02192,0.00200,0.63756,0.25781
0.00000,0.00000,1000.00000,0.02120,35.13514,365.95596,772.79279,0.20235,0.02192,0.00200,0.66138,0.33230
0.00000,0.00000,1000.00000,0.00282,73.97398,282.45245,739.77979,0.18915,0.02192,0.00800,0.65214,0.30168
0.00000,0.00000,1000.00000,0.00184,92.59259,359.15915,463.05304,0.20135,0.02192,0.00900,0.66360,0.33563
0.00000,0.00000,1000.00000,0.00797,80.98098,765.99597,319.34933,0.18053,0.02192,0.00300,0.66366,0.33856
0.00000,0.00000,1000.00000,0.01602,7.30731,228.07808,482.47247,0.20381,0.02192,0.00100,0.65089,0.30414
0.00000,0.00000,1000.00000,0.01890,39.03904,58.15816,91.17117,0.15324,0.02192,0.00100,0.62216,0.22023
0.00000,0.00000,1000.00000,0.01536,64.36436,777.64764,572.77277,0.18260,0.02192,0.00100,0.66562,0.35418
0.00000,0.00000,1000.00000,0.00986,83.28329,976.69672,115.44544,0.18494,0.02192,0.00200,0.67205,0.37374
0.00000,0.00000,1000.00000,0.01650,76.57658,63.98398,148.45847,0.18276,0.02192,0.00300,0.64333,0.26835
0.00000,0.00000,1000.00000,0.00851,24.82483,678.60858,486.35635,0.20033,0.02192,0.00200,0.67306,0.37169
0.00000,0.00000,1000.00000,0.00917,23.62362,444.60461,141.66167,0.18061,0.02192,0.00200,0.64925,0.29226
0.00000,0.00000,1000.00000,0.00196,27.12713,930.09009,606.75677,0.19868,0.02192,0.00900,0.67190,0.36803
0.00000,0.00000,1000.00000,0.02377,80.58058,102.82282,67.86787,0.17941,0.02192,0.00200,0.64628,0.29000
0.00000,0.00000,1000.00000,0.02051,39.83984,793.18317,739.77979,0.20648,0.02192,0.00100,0.67953,0.38207
0.00000,0.00000,1000.00000,0.00016,72.37238,798.03802,70.78078,0.19058,0.02192,0.00800,0.66977,0.35641
0.00000,0.00000,1000.00000,0.01495,25.42542,892.22223,948.53851,0.20329,0.02192,0.00100,0.68515,0.39942
0.00000,0.00000,1000.00000,0.00656,59.25926,769.87988,485.38538,0.17486,0.02192,0.00400,0.65871,0.33193
0.00000,0.00000,1000.00000,0.02428,82.08208,627.14716,479.55957,0.16956,0.02192,0.00200,0.64916,0.29580
0.00000,0.00000,1000.00000,0.00013,18.51852,1000.00000,322.26227,0.23357,0.02192,0.02500,0.68489,0.39150
0.00000,0.00000,1000.00000,0.02315,15.51552,143.60361,985.43542,0.18855,0.02192,0.00400,0.64509,0.27553
0.00000,0.00000,1000.00000,0.01366,28.62863,718.41840,813.57355,0.19799,0.02192,0.00100,0.67125,0.35752
0.00000,0.00000,1000.00000,0.00369,50.55055,472.76276,632.97296,0.19530,0.02192,0.00900,0.65927,0.31973
0.00000,0.00000,1000.00000,0.01396,65.76576,837.84784,716.47650,0.17706,0.02192,0.00200,0.65602,0.31303
0.00000,0.00000,1000.00000,0.02503,99.09910,936.88690,749.48950,0.15698,0.02192,0.00100,0.64521,0.27633
0.00000,0.00000,1000.00000,0.00423,7.80781,565.00500,37.76777,0.20448,0.02192,0.01000,0.66777,0.33661
0.00000,0.00000,1000.00000,0.01509,50.75075,338.76877,308.66867,0.18595,0.02192,0.00100,0.64032,0.27198
0.00000,0.00000,1000.00000,0.00459,3.40340,253.32332,874.74475,0.21073,0.02192,0.00800,0.65837,0.31928
0.00000,0.00000,1000.00000,0.00995,14.21421,410.62061,617.43744,0.19056,0.02192,0.00200,0.64994,0.29793
0.00000,0.00000,1000.00000,0.01486,13.01301,289.24924,462.08209,0.18756,0.02192,0.00100,0.64200,0.28121
0.00000,0.00000,1000.00000,0.00136,66.86687,883.48346,371.78177,0.21048,0.02192,0.02000,0.67425,0.36674
0.00000,0.00000,1000.00000,0.01596,75.97598,613.55353,696.08606,0.18585,0.02192,0.00200,0.65587,0.30654
0.00000,0.00000,1000.00000,0.00309,61.36136,657.24725,899.98999,0.18505,0.02192,0.01000,0.66022,0.32127
0.00000,0.00000,1000.00000,0.00531,69.66967,793.18317,542.67267,0.17346,0.02192,0.00600,0.65810,0.32352
0.00000,0.00000,1000.00000,0.02108,58.45846,769.87988,847.55756,0.19663,0.02192,0.00100,0.67388,0.36125
0.00000,0.00000,1000.00000,0.01300,99.89990,54.27427,234.87488,0.14250,0.02192,0.00200,0.61560,0.19587
0.00000,0.00000,1000.00000,0.00758,77.97798,669.86987,774.73474,0.18301,0.02192,0.00100,0.65984,0.31885
0.00000,0.00000,1000.00000,0.02276,92.89289,155.25525,241.67168,0.16772,0.02192,0.00200,0.63332,0.25076
0.00000,0.00000,1000.00000,0.02237,89.68969,264.00400,423.24326,0.16845,0.02192,0.00100,0.63400,0.25193
0.00000,0.00000,1000.00000,0.01605,41.64164,480.53052,775.70569,0.18186,0.02192,0.00200,0.65339,0.30447
0.00000,0.00000,1000.00000,0.01827,41.54154,226.13614,93.11311,0.17380,0.02192,0.00200,0.64017,0.27331
0.00000,0.00000,1000.00000,0.00642,18.31832,890.28027,338.76877,0.22722,0.02192,0.00600,0.68832,0.40692
0.00000,0.00000,1000.00000,0.01833,56.45646,352.36237,789.29932,0.18789,0.02192,0.00200,0.65198,0.30491
0.00000,0.00000,1000.00000,0.02566,84.48448,190.21021,251.38138,0.17109,0.02192,0.00200,0.63552,0.25723
